time,time_start,time_end,posterior,transition_type,value,optimal_split,X1,X1_squared,X2,X2_squared,X3,X3_squared
21,13.125,13.75,x=0.000: 0.600 | x=3.770: 0.400,no information,1.3375159180646317,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
22,13.75,14.375,x=2.513: 1.000,no information,-0.05714586937288369,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
22,13.75,14.375,x=1.257: 0.200 | x=5.027: 0.800,no information,0.9437885599491556,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
22,13.75,14.375,x=1.257: 0.400 | x=5.027: 0.600,no information,0.9297054878392539,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
22,13.75,14.375,x=1.257: 1.000,no information,-0.3499158844976512,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
22,13.75,14.375,x=0.000: 0.400 | x=3.770: 0.600,no information,2.1248362672531487,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
22,13.75,14.375,x=0.000: 0.600 | x=3.770: 0.400,no information,1.9646451557071731,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
23,14.375,15.0,x=2.513: 1.000,no information,-0.0583839739200548,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
23,14.375,15.0,x=1.257: 0.200 | x=5.027: 0.800,no information,1.3585463136356355,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
23,14.375,15.0,x=1.257: 0.400 | x=5.027: 0.600,no information,1.270215423685294,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
23,14.375,15.0,x=1.257: 1.000,no information,-0.46934776389181115,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
23,14.375,15.0,x=0.000: 0.400 | x=3.770: 0.600,no information,2.3949025268377384,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
23,14.375,15.0,x=0.000: 0.600 | x=3.770: 0.400,no information,2.319265187232,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
24,15.0,15.625,x=2.513: 1.000,no information,-0.023309081313852446,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
24,15.0,15.625,x=1.257: 0.200 | x=5.027: 0.800,no information,1.2857169868809712,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
24,15.0,15.625,x=1.257: 0.400 | x=5.027: 0.600,no information,1.308199155907946,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
24,15.0,15.625,x=1.257: 1.000,no information,-0.24438869233032126,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
